Word;F2;Original Word;ID;Code;Attribute;Org. Attr
અભિગ્રહ;:ઃ અભિગ્રહ;:ઃ અભિગ્રહ;176882.00;5.00;પું.;પું.
ચોટણ;:ઃ ચોટણ;:ઃ ચોટણ;185839.00;3.00;ન.;ન.
ચોટણવૃત્તિ;:ઃ ચોટણવૃત્તિ;:ઃ ચોટણવૃત્તિ;185840.00;7.00;સ્ત્રી.;સ્ત્રી.
જલાધારી, જળાધારી;:ઃ જલાધારી, જળાધારી;:ઃ જલાધારી, જળાધારી;185841.00;7.00;સ્ત્રી.;સ્ત્રી.
પેટીકૅશ;:ઃ પેટીકૅશ;:ઃ પેટીકૅશ;176870.00;7.00;સ્ત્રી.;સ્ત્રી.
ફારેગ;:ઃ ફારેગ;:ઃ ફારેગ;185842.00;10.00;વિ.;વિ.
મિસકૉલ;:ઃ મિસકૉલ;:ઃ મિસકૉલ;176886.00;5.00;પું.;પું.
સંપર્કજાળ;:ઃ સંપર્કજાળ;:ઃ સંપર્કજાળ;91912.00;7.00;સ્ત્રી.;સ્ત્રી.
સંપુટિકા;:ઃ સંપુટિકા;:ઃ સંપુટિકા;176868.00;7.00;સ્ત્રી.;સ્ત્રી.
સમરકેમ્પ;:ઃ સમરકેમ્પ;:ઃ સમરકેમ્પ;234365.00;5.00;પું.;પુ.
સેવાસદન;:ઃ સેવાસદન;:ઃ સેવાસદન;176885.00;3.00;ન.;ન.
હોમવર્ક;:ઃ હોમવર્ક;:ઃ હોમવર્ક;234348.00;3.00;ન.;ન.
વાતશીતક;:ઃવાતશીતક;:ઃવાતશીતક;185844.00;3.00;ન.;ન.
અંકગણિત;*અંકગણિત;*અંકગણિત;90135.00;3.00;ન.;ન.
અટક;*અટક;*અટક;88575.00;7.00;સ્ત્રી.;સ્ત્રી.
અડક;*અડક;*અડક;87929.00;7.00;સ્ત્રી.;સ્ત્રી.
અંડાશય;*અંડાશય;*અંડાશય;87988.00;3.00;ન.;ન.
અંધત્વ;*અંધત્વ;*અંધત્વ;90242.00;3.00;ન.;ન.
અનાસર, અનાસિર;*અનાસ(-સિ)ર;*અનાસ(-સિ)ર;90142.00;5.00;પું.;પું.
અપરિગ્રહ;*અપરિગ્રહ;*અપરિગ્રહ;88588.00;5.00;પું.;પું.
અંબાવું;*અંબાવું;*અંબાવું;184750.00;20.00;સ ક્રિ.;સ. ક્રિ.
અભિગમ;*અભિગમ;*અભિગમ;89691.00;5.00;પું.;પું.
અર્થશાસ્ત્ર;*અર્થશાસ્ત્ર;*અર્થશાસ્ત્ર;88147.00;3.00;ન.;ન.
અલ્પોક્તિ;*અલ્પોક્તિ;*અલ્પોક્તિ;90209.00;7.00;સ્ત્રી.;સ્ત્રી.
